kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;vervaldatum_apk;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_apk_dt;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_trekken_massa_geremd;hoogte_voertuig_minimum;hoogte_voertuig_maximum;gem_lading_wrde;verticale_belasting_koppelpunt_getrokken_voertuig;aerodyn_voorz;verl_cab_ind;massa_alt_aandr;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
00BRH5;Bedrijfsauto;VOLVO;FH;20210304;opleggertrekker;N.v.t.;N.v.t.;6;8894;8994;20210304;20210304;Geen verstrekking in Open Data;Ja;2;8;N3;;0.04;410;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-03-04T00:00:00.000;2021-03-04T00:00:00.000;2021-03-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;457;651;252;27000;0;50000;;2;12777;27000;;;;VTG3T;20240328;750;20250328;2024-03-28T00:00:00.000;2025-03-28T00:00:00.000;41006;e5*2007/46*1016*06;C3FHA3;N5RR3C68019753H5TUUA;0;0.00;;90;;;;;396;400;13.84200;;;;;;;;
00BRJ3;Bedrijfsauto;VOLVO;FH;20210318;opleggertrekker;N.v.t.;N.v.t.;6;7587;7687;20210318;20210318;Geen verstrekking in Open Data;Ja;2;6;N3;;0.04;360;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-03-18T00:00:00.000;2021-03-18T00:00:00.000;2021-03-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;419;579;254;21000;0;50000;;2;12777;19500;;;;VTA3T;20240318;750;20250222;2024-03-18T00:00:00.000;2025-02-22T00:00:00.000;42313;e5*2007/46*1013*06;C3FHA1;N5RR3B68013XX3H5TUUA;0;0.00;;90;381;;;;;;13.84200;;;;;;;;
00BRK1;Bedrijfsauto;VOLVO;FM;20210420;brandweerwagen;N.v.t.;N.v.t.;6;22708;22808;20210420;20210420;Geen verstrekking in Open Data;Ja;2;8;N3;;0.02;567;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-04-20T00:00:00.000;2021-04-20T00:00:00.000;2021-04-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;903;255;31000;;;;3;12777;28000;5292;;;;20240420;;;2024-04-20T00:00:00.000;;;;;;;;;110;355;;;;;;;;;;;;;;
00BRP5;Bedrijfsauto;VOLVO;FM;20210616;opleggertrekker;N.v.t.;N.v.t.;6;7882;7982;20210616;20210616;Geen verstrekking in Open Data;Ja;2;6;N3;;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-06-16T00:00:00.000;2021-06-16T00:00:00.000;2021-06-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;459;599;254;21000;0;50000;;2;12777;19500;;;;VTA3T;20240616;750;20250510;2024-06-16T00:00:00.000;2025-05-10T00:00:00.000;42018;e5*2007/46*1013*07;C3FMA1;N5RR3A68013XX3H5TUUC;0;0.00;;90;;;;;359;400;13.84200;;;;;;;;
00BRP7;Bedrijfsauto;VOLVO;FM;20210728;opleggertrekker;N.v.t.;N.v.t.;6;7882;7982;20210728;20210728;Geen verstrekking in Open Data;Ja;2;6;N3;;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-07-28T00:00:00.000;2021-07-28T00:00:00.000;2021-07-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;459;599;254;21000;0;50000;;2;12777;19500;;;;VTA3T;20230728;750;20230726;2023-07-28T00:00:00.000;2023-07-26T00:00:00.000;42018;e5*2007/46*1013*07;C3FMA1;N5RR3A68013XX3H5TUUC;0;0.00;;90;;;;;359;400;13.84200;;;;;;;;
00BRR4;Bedrijfsauto;VOLVO;FH;20210616;opleggertrekker;N.v.t.;N.v.t.;6;7163;7263;20210616;20210616;Geen verstrekking in Open Data;Ja;2;6;N3;;0.05;370;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-06-16T00:00:00.000;2021-06-16T00:00:00.000;2021-06-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;454;589;252;19500;0;50000;;2;12777;19000;;;;VTA3T;20230616;750;20240613;2023-06-16T00:00:00.000;2024-06-13T00:00:00.000;42737;e5*2007/46*1013*08;C3FHA1;N5RR3B675L0XX3HNYBUA;0;0.00;;90;376;;;;;;13.84200;;;;;;;;
00BRR7;Bedrijfsauto;VOLVO;FH;20210617;opleggertrekker;N.v.t.;N.v.t.;6;8130;8230;20210617;20210617;Geen verstrekking in Open Data;Ja;2;4;N3;;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-06-17T00:00:00.000;2021-06-17T00:00:00.000;2021-06-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;459;621;254;21000;;50000;;2;12777;19500;;;;VTA3T;20230617;750;20230618;2023-06-17T00:00:00.000;2023-06-18T00:00:00.000;41798;;;;;;;90;;;;;;;;;;;;;;;
00BRR8;Bedrijfsauto;VOLVO;F10;20220524;opleggertrekker;N.v.t.;N.v.t.;6;7500;7600;19930907;20210611;Geen verstrekking in Open Data;Ja;;4;N3;;0.03;370;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-05-24T00:00:00.000;1993-09-07T00:00:00.000;2021-06-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;440;610;255;19500;;44000;;2;9600;18000;;;;;20231215;;;2023-12-15T00:00:00.000;;36400;;;;;;;;;;;;;;;;;;;;;;
00BRS2;Bedrijfsauto;VOLVO;FH;20210706;opleggertrekker;N.v.t.;N.v.t.;6;7060;7160;20210706;20210706;Geen verstrekking in Open Data;Ja;2;6;N3;;0.05;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-07-06T00:00:00.000;2021-07-06T00:00:00.000;2021-07-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;449;599;252;19500;0;50000;;2;12777;19000;;;;VTA3T;20240303;750;20250110;2024-03-03T00:00:00.000;2025-01-10T00:00:00.000;42840;e5*2007/46*1013*08;C3FHA1;N5HL3B675L0XX3HNYBUA;0;0.00;;90;373;;;;;;13.84200;12340;;;;;;;
00BRS5;Bedrijfsauto;VOLVO;FM;20210623;gesloten opbouw;N.v.t.;N.v.t.;6;11809;11909;20210623;20210623;Geen verstrekking in Open Data;Ja;;8;N3;;0.02;627;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-06-23T00:00:00.000;2021-06-23T00:00:00.000;2021-06-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;998;255;28500;;;;2;10837;27000;15191;;;VTJ3R;20240623;;20250515;2024-06-23T00:00:00.000;2025-05-15T00:00:00.000;;;;;;;;90;380;;;;;;;;;;;;;;
