kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;vervaldatum_apk;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_apk_dt;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_trekken_massa_geremd;hoogte_voertuig_minimum;hoogte_voertuig_maximum;gem_lading_wrde;verticale_belasting_koppelpunt_getrokken_voertuig;aerodyn_voorz;verl_cab_ind;massa_alt_aandr;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
0015ZX;Personenauto;VOLVO;P 13194;20160822;Niet geregistreerd;ZWART;Niet geregistreerd;4;1068;1168;19680515;19680515;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.00;260;Nee;Nee;Nee;2019;Logisch;00;Ja;2016-08-22T00:00:00.000;1968-05-15T00:00:00.000;1968-05-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0017VN;Personenauto;VOLVO;142 DE LUXE;20030512;Niet geregistreerd;GROEN;Niet geregistreerd;4;1238;1338;19721107;19721107;Geen verstrekking in Open Data;Nee;2;4;M1;tegen r. voorste deurstyl;0.00;262;Nee;Nee;Nee;2003;Logisch;00;Ja;2003-05-12T00:00:00.000;1972-11-07T00:00:00.000;1972-11-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0021ZT;Personenauto;VOLVO;P 13194;20191128;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1078;1178;19660610;19660610;Geen verstrekking in Open Data;Ja;2;4;M1;r. op schutbord onder motorkap;0.00;260;Nee;Nee;Nee;2014;Logisch;00;Ja;2019-11-28T00:00:00.000;1966-06-10T00:00:00.000;1966-06-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
003GV2;Motorrijtuig met beperkte snelheid;VOLVO;EWR150E;20211202;Niet geregistreerd;N.v.t.;N.v.t.;;;;20190630;20211202;Geen verstrekking in Open Data;Ja;;;Z;;0.00;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-12-02T00:00:00.000;2019-06-30T00:00:00.000;2021-12-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;Graafmachine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0040VN;Personenauto;VOLVO;145 E DE LUXE;19721117;Niet geregistreerd;ROOD;Niet geregistreerd;4;1270;1370;19721117;19721117;Geen verstrekking in Open Data;Ja;4;4;M1;;0.00;262;Nee;Nee;Nee;2022;Logisch;00;Ja;1972-11-17T00:00:00.000;1972-11-17T00:00:00.000;1972-11-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007GV2;Motorrijtuig met beperkte snelheid;VOLVO;EW160D;20211227;Niet geregistreerd;N.v.t.;N.v.t.;;;;20130630;20211227;Geen verstrekking in Open Data;Ja;;;Z;;0.00;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-12-27T00:00:00.000;2013-06-30T00:00:00.000;2021-12-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;Mobiele kraan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0090ZZ;Bedrijfsauto;VOLVO;FH;20170420;mobiele kraan;N.v.t.;N.v.t.;6;63750;63850;20170406;20170420;Geen verstrekking in Open Data;Ja;;16;N3;r. balk by vooras;0.01;925;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2017-04-20T00:00:00.000;2017-04-06T00:00:00.000;2017-04-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;1241;1261;255;66000;;82000;;2;12777;64000;250;18000;18000;VTY3R;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0094VE;Personenauto;VOLVO;164;20230509;Niet geregistreerd;BEIGE;Niet geregistreerd;6;1368;1468;19690630;19730501;Geen verstrekking in Open Data;Ja;4;4;M1;r. in deurstyl;0.00;270;Nee;Nee;Nee;2020;Geen oordeel;07;Ja;2023-05-09T00:00:00.000;1969-06-30T00:00:00.000;1973-05-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00BBF3;Bedrijfsauto;VOLVO;FMX 460 8X4;20210518;afneembare bovenbouw;N.v.t.;N.v.t.;6;13610;13710;20120912;20120917;Geen verstrekking in Open Data;Ja;;8;N3;r. balk by vooras;0.03;582;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-05-18T00:00:00.000;2012-09-12T00:00:00.000;2012-09-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;820;836;255;41000;;50000;;2;12780;41000;27390;36390;15008;;20230623;750;20230618;2023-06-23T00:00:00.000;2023-06-18T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BBG2;Bedrijfsauto;VOLVO;FM 370 EEV 4X2;;opleggertrekker;N.v.t.;N.v.t.;6;7265;7365;20121008;20121008;Geen verstrekking in Open Data;Nee;;4;N3;r. balk by vooras;0.04;380;Ja;Nee;Nee;;Niet geregistreerd;NG;Nee;;2012-10-08T00:00:00.000;2012-10-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;455;666;252;19000;;50000;;2;10837;19000;;;;FM/FH42T;20220724;;20220724;2022-07-24T00:00:00.000;2022-07-24T00:00:00.000;42735;;;;;;;;;;;;;;;;;;;;;;
00BBG3;Bedrijfsauto;VOLVO;FH 460 EEV 4X2;20121204;opleggertrekker;N.v.t.;N.v.t.;6;8196;8296;20121204;20121204;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2012-12-04T00:00:00.000;2012-12-04T00:00:00.000;2012-12-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;454;599;255;20000;0;50000;;2;12777;19500;;;;FM/FH42T;20231206;;20231111;2023-12-06T00:00:00.000;2023-11-11T00:00:00.000;41804;nl*2007/46*0346*05;THC32A40;A3M4N;0;0.00;;;;;;;;;;;;;;;;;
00BBH5;Bus;VOLVO;8900;20131230;bus;N.v.t.;N.v.t.;6;12140;12240;20121128;20121128;Geen verstrekking in Open Data;Ja;0;4;M3;r. voorwielscherm;0.02;700;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-12-30T00:00:00.000;2012-11-28T00:00:00.000;2012-11-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;1310;255;18600;0;0;;46;7146;18600;6460;;;B4SC;20230923;;20241223;2023-09-23T00:00:00.000;2024-12-23T00:00:00.000;;e11*2007/46*0008*06;8927R21L;B29D8;0;0.00;44;;;;;;;;;;;;;;;;
00BBK3;Bedrijfsauto;VOLVO;FE 62R;20130204;brandweerwagen;N.v.t.;N.v.t.;6;12310;12410;20121227;20121227;Geen verstrekking in Open Data;Ja;;6;N3;r. balk by vooras;0.02;585;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-02-04T00:00:00.000;2012-12-27T00:00:00.000;2012-12-27T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;832;847;255;28000;;31500;;2;7146;28000;15690;3500;3500;FE62;20231008;750;;2023-10-08T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;
00BBK4;Bedrijfsauto;VOLVO;FM;20210628;opleggertrekker;N.v.t.;N.v.t.;6;7102;7202;20121221;20121221;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.03;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-06-28T00:00:00.000;2012-12-21T00:00:00.000;2012-12-21T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;466;599;250;20000;0;44000;;2;10837;19000;;;;FMA3C;20231221;;20230701;2023-12-21T00:00:00.000;2023-07-01T00:00:00.000;36898;e1*2007/46*0153*10;C1XA4F;N5RR1D57513XXD4KUUC;0;0.00;;;;;;;;;;;;;;;;;
00BBK5;Bedrijfsauto;VOLVO;FH 500 EEV 4X2;20130111;opleggertrekker;N.v.t.;N.v.t.;6;8188;8288;20130111;20130111;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.05;410;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-01-11T00:00:00.000;2013-01-11T00:00:00.000;2013-01-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;599;255;20000;0;50000;;2;12777;19500;;;;FM/FH42T;20240115;;20241212;2024-01-15T00:00:00.000;2024-12-12T00:00:00.000;41812;nl*2007/46*0346*05;THC32A40;A3N4N;0;0.00;;;;;;;;;;;;;;;;;
00BBN1;Bedrijfsauto;VOLVO;FE 62R HYBRID;20130125;vuilniswagen;N.v.t.;N.v.t.;6;16870;16970;20130125;20130125;Geen verstrekking in Open Data;Ja;;6;N3;r. balk by vooras;0.00;505;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-01-25T00:00:00.000;2013-01-25T00:00:00.000;2013-01-25T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;936;250;26500;;;;3;7146;26500;9630;;;FE62;20231113;;20240920;2023-11-13T00:00:00.000;2024-09-20T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BBV5;Bedrijfsauto;VOLVO;FH;20211126;opleggertrekker;N.v.t.;N.v.t.;6;6795;6895;20130610;20130610;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.05;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-26T00:00:00.000;2013-06-10T00:00:00.000;2013-06-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;460;621;255;18600;;50000;;2;12777;18600;;;;24A3C;20240617;;20250504;2024-06-17T00:00:00.000;2025-05-04T00:00:00.000;41400;;;;;;;;;;;;;;;;;;;;;;
00BBZ1;Bedrijfsauto;VOLVO;FM;20130716;voertuig met haakarm;N.v.t.;N.v.t.;6;12220;12320;20130712;20130712;Geen verstrekking in Open Data;Ja;;6;N3;r. balk by vooras;0.03;597;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-07-16T00:00:00.000;2013-07-12T00:00:00.000;2013-07-12T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;583;865;255;28000;;50000;;2;12777;28000;15780;25100;13600;FMF3C;20230715;750;20230618;2023-07-15T00:00:00.000;2023-06-18T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BDB3;Bedrijfsauto;VOLVO;FM;20200130;opleggertrekker;N.v.t.;N.v.t.;6;7029;7129;20131031;20131031;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2020-01-30T00:00:00.000;2013-10-31T00:00:00.000;2013-10-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;449;599;252;20500;0;50000;;2;10837;19000;;;;2MA3C;20230524;;20230525;2023-05-24T00:00:00.000;2023-05-25T00:00:00.000;42971;e1*2007/46*0963*01;C1XA4F;N5RR1K67513XXB4KUUC;0;0.00;;;;;;;;;;;;;;;;;
00BDB9;Bedrijfsauto;VOLVO;FH;20180426;opleggertrekker;N.v.t.;N.v.t.;6;7990;8090;20131011;20131011;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.05;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2018-04-26T00:00:00.000;2013-10-11T00:00:00.000;2013-10-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;453;618;254;20000;;50000;;2;12777;20000;;;;FHA3C;20230724;;20230719;2023-07-24T00:00:00.000;2023-07-19T00:00:00.000;42010;;;;;;;;;;;;;;;;;;;;;;
00BDD5;Bedrijfsauto;VOLVO;FM;20220504;hoogwerker;N.v.t.;N.v.t.;6;23605;23705;20130918;20130918;Geen verstrekking in Open Data;Ja;;6;N3;r. balk by vooras;0.01;567;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-05-04T00:00:00.000;2013-09-18T00:00:00.000;2013-09-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;920;251;28000;;28000;;3;12777;28000;4395;;;FMF3C;20230831;;;2023-08-31T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;
00BDD7;Bedrijfsauto;VOLVO;FH;20131007;opleggertrekker;N.v.t.;N.v.t.;6;7584;7684;20131007;20131007;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-10-07T00:00:00.000;2013-10-07T00:00:00.000;2013-10-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;599;252;19000;0;50000;;2;12777;19000;;;;24A3C (4X2 TRACTOR);20231007;;20240831;2023-10-07T00:00:00.000;2024-08-31T00:00:00.000;42416;e11*2007/46*0271*02;C3XA4F;N5RR3MK7511XXB4LUUA;0;0.00;;;;;;;;;;;;;;;;;
00BDF6;Bedrijfsauto;VOLVO;FH;20211103;opleggertrekker;N.v.t.;N.v.t.;6;8175;8275;20131024;20131024;Geen verstrekking in Open Data;Ja;0;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-03T00:00:00.000;2013-10-24T00:00:00.000;2013-10-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;454;599;252;21000;0;50000;;2;12777;19500;;;;24A3C (4X2 TRACTOR);20231207;;20231029;2023-12-07T00:00:00.000;2023-10-29T00:00:00.000;41825;e11*2007/46*0271*02;C3XA4F;N5RR3MK8013XXB4KUUA;0;0.00;;;;;;;;;;;;;;;;;
00BDG4;Bedrijfsauto;VOLVO;FH;20131105;opleggertrekker;N.v.t.;N.v.t.;6;8465;8565;20131101;20131101;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-11-05T00:00:00.000;2013-11-01T00:00:00.000;2013-11-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;455;615;255;20500;;50000;;2;12777;19000;;;;24A3C (4X2 TRACTOR);20231101;;20250524;2023-11-01T00:00:00.000;2025-05-24T00:00:00.000;41535;;;;;;;;;;;;;;;;;;;;;;
00BDJ7;Bedrijfsauto;VOLVO;FH16;20220913;opleggertrekker;N.v.t.;N.v.t.;6;9500;9600;20131205;20131205;Geen verstrekking in Open Data;Ja;;6;N3;r. balk by vooras;0.06;410;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-09-13T00:00:00.000;2013-12-05T00:00:00.000;2013-12-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;470;650;254;27000;;50000;;2;16123;27000;;;;24G3C (6X2P TRACTOR);20231214;;20240324;2023-12-14T00:00:00.000;2024-03-24T00:00:00.000;40500;;;;;;;;;;;;;;;;;;;;;;
00BDK1;Bedrijfsauto;VOLVO;FH;20131206;gecond. met temperatuurreg.;N.v.t.;N.v.t.;6;15005;15105;20131204;20131204;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.02;560;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2013-12-06T00:00:00.000;2013-12-04T00:00:00.000;2013-12-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;814;1010;260;20300;;50000;;2;12777;19500;4495;34995;24000;24B3C (4X2 RIGID);20231029;750;20231028;2023-10-29T00:00:00.000;2023-10-28T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BDP3;Bedrijfsauto;VOLVO;FM;;opleggertrekker;N.v.t.;N.v.t.;6;7104;7204;20140701;20140701;Geen verstrekking in Open Data;Nee;0;4;N3;r. balk by vooras;0.04;380;Ja;Nee;Nee;;Niet geregistreerd;NG;Nee;;2014-07-01T00:00:00.000;2014-07-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;459;599;250;20100;0;50000;;2;10837;18600;;;;2MA3C;20220909;;20230721;2022-09-09T00:00:00.000;2023-07-21T00:00:00.000;42796;e1*2007/46*0963*03;C1XA4F;N5RR1K67113XXB4KUUC;0;0.00;;;;;;;;;;;;;;;;;
00BDP8;Bedrijfsauto;VOLVO;FH;;opleggertrekker;N.v.t.;N.v.t.;6;8655;8755;20140226;20140226;Geen verstrekking in Open Data;Nee;;4;N3;r. balk by vooras;0.04;380;Ja;Nee;Nee;;Niet geregistreerd;NG;Nee;;2014-02-26T00:00:00.000;2014-02-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;460;635;255;21000;;50000;;2;12777;19500;;;;24A3C (4X2 TRACTOR);20220226;;20211227;2022-02-26T00:00:00.000;2021-12-27T00:00:00.000;41345;;;;;;;;;;;;;;;;;;;;;;
00BDT9;Bedrijfsauto;VOLVO;FH;20140514;opleggertrekker;N.v.t.;N.v.t.;6;8255;8355;20140501;20140501;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.04;380;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2014-05-14T00:00:00.000;2014-05-01T00:00:00.000;2014-05-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;447;625;252;21000;;50000;;2;12777;19500;;;;24A3C (4X2 TRACTOR);20240509;;20240209;2024-05-09T00:00:00.000;2024-02-09T00:00:00.000;41745;;;;;;;;;;;;;;;;;;;;;;
00BDV3;Bedrijfsauto;VOLVO;FM;20140509;gesloten opbouw;N.v.t.;N.v.t.;6;10040;10140;20140507;20140507;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.02;600;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2014-05-09T00:00:00.000;2014-05-07T00:00:00.000;2014-05-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;1020;254;19500;;19500;;2;10837;19500;9460;;;2MB3C;20240507;;20240325;2024-05-07T00:00:00.000;2024-03-25T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BDX1;Bedrijfsauto;VOLVO;FM;20141212;gesloten opbouw;N.v.t.;N.v.t.;6;11205;11305;20140523;20140523;Geen verstrekking in Open Data;Ja;;4;N3;r. balk by vooras;0.02;630;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2014-12-12T00:00:00.000;2014-05-23T00:00:00.000;2014-05-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;935;1080;255;21000;;44000;;2;10837;19500;8295;32795;24000;2MB3C;20240614;750;20240614;2024-06-14T00:00:00.000;2024-06-14T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
