kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;maximale_constructiesnelheid;maximum_ondersteunende_snelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
G007TR;Personenauto;TESLA;MODEL 3;20231218;20191218;sedan;5;GRIJS;Niet geregistreerd;;1831;2305;1931;20191218;20191218;Geen verstrekking in Open Data;61780;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*06;E3D;BB1N;0;0.03;288;Nee;Ja;Nee;0;0;2023;Logisch;00;Ja;2023-12-18T00:00:00.000;2019-12-18T00:00:00.000;2019-12-18T00:00:00.000;2019-12-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;233;0.00;144;;
G007VX;Personenauto;TESLA;MODEL 3;20231219;20191219;sedan;5;GRIJS;Niet geregistreerd;;1831;2305;1931;20191219;20191219;Geen verstrekking in Open Data;61780;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*06;E3D;BB1N;0;0.03;288;Nee;Ja;Nee;0;0;2023;Logisch;00;Ja;2023-12-19T00:00:00.000;2019-12-19T00:00:00.000;2019-12-19T00:00:00.000;2019-12-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;233;0.00;144;;
G007XB;Personenauto;TESLA;MODEL 3;20231223;20191223;sedan;5;WIT;Niet geregistreerd;;1831;2305;1931;20191223;20191223;Geen verstrekking in Open Data;64580;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*06;E3D;PP2N;0;0.03;288;Nee;Ja;Nee;0;0;2023;Logisch;00;Ja;2023-12-23T00:00:00.000;2019-12-23T00:00:00.000;2019-12-23T00:00:00.000;2019-12-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;261;0.00;144;;
G007XK;Personenauto;TESLA;MODEL 3;20231227;20191227;sedan;5;GRIJS;Niet geregistreerd;;1831;2305;1931;20191227;20191227;Geen verstrekking in Open Data;60080;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*06;E3D;BB1N;0;0.03;288;Nee;Nee;Nee;0;0;2023;Logisch;00;Ja;2023-12-27T00:00:00.000;2019-12-27T00:00:00.000;2019-12-27T00:00:00.000;2019-12-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;233;0.00;144;;
G007ZS;Personenauto;TESLA;MODEL S;20231221;20191221;hatchback;5;BLAUW;Niet geregistreerd;;2190;2694;2290;20191221;20191221;Geen verstrekking in Open Data;91000;Ja;5;4;0;0;498;196;M1;;2694;002;e4*2007/46*0667*28;SA3;EBS15N;0;0.04;296;Nee;Nee;Nee;0;0;2023;Logisch;00;Ja;2023-12-21T00:00:00.000;2019-12-21T00:00:00.000;2019-12-21T00:00:00.000;2019-12-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;250;0.00;145;;
G008DR;Personenauto;TESLA;MODEL 3;20231115;20191115;sedan;5;WIT;Niet geregistreerd;;1831;2305;1931;20191115;20191115;Geen verstrekking in Open Data;59380;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*04;E3D;BB1T1;0;0.03;288;Nee;Ja;Nee;3305;0;2023;Logisch;00;Ja;2023-11-15T00:00:00.000;2019-11-15T00:00:00.000;2019-11-15T00:00:00.000;2019-11-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;1000;233;0.00;144;;
G008DX;Personenauto;TESLA;MODEL 3;20230916;20190916;sedan;5;WIT;Niet geregistreerd;;1584;2060;1684;20190916;20190916;Geen verstrekking in Open Data;47800;Ja;4;4;0;0;469;185;M1;;2060;003;e4*2007/46*1293*04;E1R;BB1N;0;0.06;288;Nee;Ja;Nee;0;0;2023;Logisch;00;Ja;2023-09-16T00:00:00.000;2019-09-16T00:00:00.000;2019-09-16T00:00:00.000;2019-09-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;225;0.00;144;;
G008DZ;Personenauto;TESLA;MODEL 3;20230910;20190910;sedan;5;ROOD;Niet geregistreerd;;1831;2305;1931;20190910;20190910;Geen verstrekking in Open Data;66800;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*04;E3D;BB1N;0;0.03;288;Nee;Ja;Nee;0;0;2023;Logisch;00;Ja;2023-09-10T00:00:00.000;2019-09-10T00:00:00.000;2019-09-10T00:00:00.000;2019-09-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;233;0.00;144;;
G008FS;Personenauto;TESLA;MODEL 3;20230919;20190919;sedan;5;BLAUW;Niet geregistreerd;;1831;2305;1931;20190919;20190919;Geen verstrekking in Open Data;60950;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*04;E3D;BB1N;0;0.03;288;Nee;Nee;Nee;0;0;2023;Logisch;00;Ja;2023-09-19T00:00:00.000;2019-09-19T00:00:00.000;2019-09-19T00:00:00.000;2019-09-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;233;0.00;144;;
G008GJ;Personenauto;TESLA;MODEL 3;20230927;20190927;sedan;5;WIT;Niet geregistreerd;;1831;2305;1931;20190927;20190927;Geen verstrekking in Open Data;59380;Ja;4;4;0;0;469;185;M1;;2305;003;e4*2007/46*1293*04;E3D;BB1T1;0;0.03;288;Nee;Nee;Nee;3305;0;2023;Logisch;00;Ja;2023-09-27T00:00:00.000;2019-09-27T00:00:00.000;2019-09-27T00:00:00.000;2019-09-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;1000;233;0.00;144;;
